"fare_id","route_id","origin_id","destination_id","contains_id"
"Ônibus","5362-41","","",""
"Ônibus","5370-10","","",""
"Ônibus","5370-21","","",""
"Ônibus","5391-10","","",""
"Ônibus","5391-21","","",""
"Ônibus","5391-22","","",""
"Ônibus","546A-10","","",""
"Ônibus","546A-31","","",""
"Ônibus","546J-10","","",""
"Ônibus","546J-31","","",""
"Ônibus","546J-41","","",""
"Ônibus","546L-10","","",""
"Ônibus","546L-41","","",""
"Ônibus","546T-10","","",""
"Ônibus","5611-10","","",""
"Ônibus","5614-10","","",""
"Ônibus","5614-21","","",""
"Ônibus","5630-10","","",""
"Ônibus","5630-21","","",""
"Ônibus","5632-10","","",""
"Ônibus","5632-21","","",""
"Ônibus","5632-51","","",""
"Ônibus","5652-10","","",""
"Ônibus","5652-22","","",""
"Ônibus","5701-10","","",""
"Ônibus","5702-10","","",""
"Ônibus","5705-10","","",""
"Ônibus","573A-10","","",""
"Ônibus","573H-10","","",""
"Ônibus","573T-10","","",""
"Ônibus","573T-31","","",""
"Ônibus","574A-10","","",""
"Ônibus","574A-21","","",""
"Ônibus","574C-10","","",""
"Ônibus","574J-10","","",""
"Ônibus","574R-10","","",""
"Ônibus","574W-10","","",""
"Ônibus","5752-10","","",""
"Ônibus","5757-10","","",""
"Ônibus","5757-51","","",""
"Ônibus","5759-10","","",""
"Ônibus","5759-31","","",""
"Ônibus","575A-10","","",""
"Ônibus","575C-10","","",""
"Ônibus","576C-10","","",""
"Ônibus","576M-10","","",""
"Ônibus","577T-10","","",""
"Ônibus","5791-10","","",""
"Ônibus","5791-21","","",""
"Ônibus","6000-10","","",""
"Ônibus","6001-10","","",""
"Ônibus","6002-10","","",""
"Ônibus","6003-10","","",""
"Ônibus","6003-21","","",""
"Ônibus","6006-10","","",""
"Ônibus","6007-10","","",""
"Ônibus","6008-10","","",""
"Ônibus","6008-41","","",""
"Ônibus","6010-10","","",""
"Ônibus","6012-10","","",""
"Ônibus","6012-31","","",""
"Ônibus","6013-10","","",""
"Ônibus","6013-21","","",""
"Ônibus","6014-10","","",""
